cutoff;11;;;;;;;;;;;;;
Database;paw_db;;;;;;;;;;;;;
format;Excel spreadsheet;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Activity;Electricity 230;;;;;;;;;;;;;
code;230_elec;;;;;;;;;;;;;
paper;YangLi2019;;;;;;;;;;;;;
case_id;230;;;;;;;;;;;;;
lcs;Operation;;;;;;;;;;;;;
case_study;YangLi2019-GAC;;;;;;;;;;;;;
location;RER;;;;;;;;;;;;;
amount;1;;;;;;;;;;;;;
type;process;;;;;;;;;;;;;
unit;cubic meter;;;;;;;;;;;;;
reference product;electricity per m3;;;;;;;;;;;;;
Exchanges;;;;;;;;;;;;;;
code;name;amount;unit;database;categories;location;type;reference product;uncertainty type;loc;scale;shape;minimum;maximum
230_elec;Electricity 230;1;cubic meter;paw_db;None;RER;production;electricity per m3;0;(Unknown);(Unknown);(Unknown);(Unknown);(Unknown)
(Unknown);market group for electricity, medium voltage;0,231;kilowatt hours;ecoinvent-3.11-cutoff;none;RER;technosphere;electricity, medium voltage;0;(Unknown);(Unknown);(Unknown);(Unknown);(Unknown)
;;;;;;;;;;;;;;
Activity;GAC 230;;;;;;;;;;;;;
code;230_gac;;;;;;;;;;;;;
paper;YangLi2019;;;;;;;;;;;;;
case_id;230;;;;;;;;;;;;;
lcs;Operation;;;;;;;;;;;;;
case_study;YangLi2019-GAC;;;;;;;;;;;;;
location;RER;;;;;;;;;;;;;
amount;1;;;;;;;;;;;;;
type;process;;;;;;;;;;;;;
unit;cubic meter;;;;;;;;;;;;;
reference product;GAC per m3;;;;;;;;;;;;;
Exchanges;;;;;;;;;;;;;;
code;name;amount;unit;database;categories;location;type;reference product;uncertainty type;loc;scale;shape;minimum;maximum
230_gac;GAC 230;0;cubic meter;paw_db;None;RER;production;GAC per m3;0;(Unknown);(Unknown);(Unknown);(Unknown);(Unknown)
(Unknown);treatment of spent activated carbon, granular from hard coal, reactivation;0;kilogram;ecoinvent-3.11-cutoff;none;RER;technosphere;activated carbon, granular;0;(Unknown);(Unknown);(Unknown);(Unknown);(Unknown)
(Unknown);market for activated carbon, granular;0,015;kilogram;ecoinvent-3.11-cutoff;none;GLO;technosphere;activated carbon, granular;0;(Unknown);(Unknown);(Unknown);(Unknown);(Unknown)
;;;;;;;;;;;;;;
Activity;Chemicals 230;;;;;;;;;;;;;
code;230_chem;;;;;;;;;;;;;
paper;YangLi2019;;;;;;;;;;;;;
case_id;230;;;;;;;;;;;;;
lcs;Operation;;;;;;;;;;;;;
case_study;YangLi2019-GAC;;;;;;;;;;;;;
location;RER;;;;;;;;;;;;;
amount;1;;;;;;;;;;;;;
type;process;;;;;;;;;;;;;
unit;cubic meter;;;;;;;;;;;;;
reference product;chemicals per m3;;;;;;;;;;;;;
Exchanges;;;;;;;;;;;;;;
code;name;amount;unit;database;categories;location;type;reference product;uncertainty type;loc;scale;shape;minimum;maximum
