carrier,substance,region,technology,value
sldg,car,DE,nof,0.0
sldg,car,DE,aop,0.0
sldg,car,DE,o3,0.0
sldg,car,DE,gac,0.0
sldg,cec,DE,nof,0.0
sldg,cec,DE,aop,0.0
sldg,cec,DE,o3,0.0
sldg,cec,DE,gac,0.0
wtr,car,DE,nof,0.0
wtr,car,DE,aop,0.0
wtr,car,DE,o3,0.0
wtr,car,DE,gac,0.0
wtr,cec,DE,nof,0.0
wtr,cec,DE,aop,0.0
wtr,cec,DE,o3,0.0
wtr,cec,DE,gac,0.0
oxi_con,car,DE,nof,0.0
oxi_con,car,DE,aop,0.0
oxi_con,car,DE,o3,0.0
oxi_con,car,DE,gac,0.0
oxi_con,cec,DE,nof,0.0
oxi_con,cec,DE,aop,0.0
oxi_con,cec,DE,o3,0.0
oxi_con,cec,DE,gac,0.0
