time,carrier,scenario,region,value
2020,sldg,high_env_pol,DE,457011861.52
2020,sldg,low_env_pol,DE,457011861.52
2020,wtr,high_env_pol,DE,-370.03900325905624
2020,wtr,low_env_pol,DE,-370.03900325905624
2020,oxi_con,high_env_pol,DE,0.0
2020,oxi_con,low_env_pol,DE,0.0
2035,sldg,high_env_pol,DE,558009190.9755001
2035,sldg,low_env_pol,DE,453171100.54980004
2035,wtr,high_env_pol,DE,-295.19536919999996
2035,wtr,low_env_pol,DE,-357.7006498999997
2035,oxi_con,high_env_pol,DE,0.0
2035,oxi_con,low_env_pol,DE,0.0
2045,sldg,high_env_pol,DE,664354033.66
2045,sldg,low_env_pol,DE,445117202.55219996
2045,wtr,high_env_pol,DE,-267.42623000000003
2045,wtr,low_env_pol,DE,-351.34276269999987
2045,oxi_con,high_env_pol,DE,0.0
2045,oxi_con,low_env_pol,DE,0.0
