time,carrier,scenario,substance,region,value
2020,sldg,high_env_pol,car,DE,45988305.0
2020,sldg,high_env_pol,cec,DE,0.0
2020,sldg,low_env_pol,car,DE,45988305.0
2020,sldg,low_env_pol,cec,DE,0.0
2020,wtr,high_env_pol,car,DE,4552011589.14
2020,wtr,high_env_pol,cec,DE,830.61
2020,wtr,low_env_pol,car,DE,4552011589.14
2020,wtr,low_env_pol,cec,DE,830.61
2020,oxi_con,high_env_pol,car,DE,0.0
2020,oxi_con,high_env_pol,cec,DE,0.0
2020,oxi_con,low_env_pol,car,DE,0.0
2020,oxi_con,low_env_pol,cec,DE,0.0
2035,sldg,high_env_pol,car,DE,45601815.94
2035,sldg,high_env_pol,cec,DE,0.0
2035,sldg,low_env_pol,car,DE,45601815.94
2035,sldg,low_env_pol,cec,DE,0.0
2035,wtr,high_env_pol,car,DE,4513756152.66
2035,wtr,high_env_pol,cec,DE,823.63
2035,wtr,low_env_pol,car,DE,4513756152.66
2035,wtr,low_env_pol,cec,DE,823.63
2035,oxi_con,high_env_pol,car,DE,0.0
2035,oxi_con,high_env_pol,cec,DE,0.0
2035,oxi_con,low_env_pol,car,DE,0.0
2035,oxi_con,low_env_pol,cec,DE,0.0
2045,sldg,high_env_pol,car,DE,44791366.26
2045,sldg,high_env_pol,cec,DE,0.0
2045,sldg,low_env_pol,car,DE,44791366.26
2045,sldg,low_env_pol,cec,DE,0.0
2045,wtr,high_env_pol,car,DE,4433536272.04
2045,wtr,high_env_pol,cec,DE,808.99
2045,wtr,low_env_pol,car,DE,4433536272.04
2045,wtr,low_env_pol,cec,DE,808.99
2045,oxi_con,high_env_pol,car,DE,0.0
2045,oxi_con,high_env_pol,cec,DE,0.0
2045,oxi_con,low_env_pol,car,DE,0.0
2045,oxi_con,low_env_pol,cec,DE,0.0
